,open,high,low,close,volume
2023-12-15 19:59:00,369.9,369.9,369.85,369.86,766.0
2023-12-15 19:58:00,369.96,369.96,369.85,369.9,217.0
2023-12-15 19:57:00,369.91,369.99,369.9,369.9,58.0
2023-12-15 19:56:00,369.99,369.99,369.85,369.9,87.0
2023-12-15 19:55:00,369.85,369.95,369.85,369.9,131.0
2023-12-15 19:54:00,369.99,369.99,369.85,369.85,107.0
2023-12-15 19:53:00,369.86,369.99,369.86,369.99,6.0
2023-12-15 19:52:00,369.99,369.99,369.85,369.85,364.0
2023-12-15 19:51:00,369.87,369.9,369.85,369.85,172.0
2023-12-15 19:50:00,369.99,369.99,369.85,369.85,198.0
2023-12-15 19:49:00,369.85,369.86,369.85,369.86,57.0
2023-12-15 19:48:00,369.85,369.88,369.85,369.86,54.0
2023-12-15 19:47:00,369.88,369.88,369.85,369.86,40.0
2023-12-15 19:46:00,369.88,369.88,369.85,369.85,51.0
2023-12-15 19:45:00,369.88,369.88,369.88,369.88,3.0
2023-12-15 19:44:00,369.9,369.9,369.85,369.85,232.0
2023-12-15 19:43:00,369.92,369.99,369.92,369.99,5.0
2023-12-15 19:41:00,369.9,369.9,369.9,369.9,67.0
2023-12-15 19:40:00,369.99,369.99,369.88,369.88,3.0
2023-12-15 19:39:00,369.91,369.91,369.9,369.9,95.0
2023-12-15 19:38:00,369.96,369.96,369.86,369.86,81.0
2023-12-15 19:37:00,370.0,370.0,369.86,369.96,30.0
2023-12-15 19:36:00,370.0,370.0,369.96,369.96,3.0
2023-12-15 19:35:00,369.96,369.96,369.96,369.96,1.0
2023-12-15 19:34:00,369.89,369.89,369.89,369.89,3.0
2023-12-15 19:33:00,369.92,369.98,369.87,369.87,12.0
2023-12-15 19:32:00,369.85,370.0,369.85,369.85,125.0
2023-12-15 19:31:00,369.86,370.0,369.86,370.0,7.0
2023-12-15 19:30:00,370.0,370.0,369.86,369.86,203.0
2023-12-15 19:29:00,369.86,370.0,369.86,370.0,130.0
2023-12-15 19:28:00,370.0,370.0,369.88,369.99,206.0
2023-12-15 19:27:00,369.99,369.99,369.99,369.99,1.0
2023-12-15 19:26:00,369.91,369.95,369.91,369.92,55.0
2023-12-15 19:25:00,369.98,369.98,369.95,369.95,4.0
2023-12-15 19:24:00,369.99,369.99,369.99,369.99,2.0
2023-12-15 19:23:00,370.0,370.0,369.88,369.88,10.0
2023-12-15 19:22:00,369.91,370.0,369.91,369.95,129.0
2023-12-15 19:21:00,369.91,369.95,369.85,369.91,78.0
