,open,high,low,close,volume
2023-12-15 19:59:00,307.45,307.45,307.34,307.34,6.0
2023-12-15 19:58:00,307.5,307.5,307.5,307.5,25.0
2023-12-15 19:57:00,307.5,307.5,307.5,307.5,105.0
2023-12-15 19:55:00,307.5,307.5,307.5,307.5,10.0
2023-12-15 19:53:00,307.34,307.34,307.34,307.34,4.0
2023-12-15 19:51:00,307.5,307.5,307.5,307.5,1.0
2023-12-15 19:46:00,307.5,307.5,307.5,307.5,4.0
2023-12-15 19:45:00,307.8,307.8,307.8,307.8,100.0
2023-12-15 19:41:00,307.34,307.5,307.34,307.5,2.0
2023-12-15 19:33:00,307.33,307.4,307.33,307.33,42.0
2023-12-15 19:30:00,307.8,307.8,307.8,307.8,100.0
2023-12-15 19:27:00,307.45,307.45,307.45,307.45,16.0
2023-12-15 19:26:00,307.3,307.45,307.3,307.45,152.0
2023-12-15 19:24:00,307.3,307.3,307.3,307.3,499.0
2023-12-15 19:23:00,307.77,307.77,307.77,307.77,2.0
2023-12-15 19:22:00,307.45,307.45,307.45,307.45,3.0
2023-12-15 19:21:00,307.32,307.32,307.32,307.32,5.0
2023-12-15 19:19:00,307.8,307.8,307.8,307.8,1.0
2023-12-15 19:18:00,307.45,307.45,307.45,307.45,1.0
2023-12-15 19:17:00,307.8,307.8,307.8,307.8,3.0
2023-12-15 19:16:00,307.45,307.5,307.45,307.5,8.0
2023-12-15 19:14:00,307.8,307.8,307.8,307.8,7.0
2023-12-15 19:10:00,307.45,307.45,307.45,307.45,100.0
2023-12-15 19:07:00,307.8,307.8,307.8,307.8,1.0
2023-12-15 18:54:00,307.24,307.4,307.24,307.4,239.0
2023-12-15 18:53:00,307.06,307.06,307.06,307.06,2.0
2023-12-15 18:52:00,307.06,307.06,307.06,307.06,1.0
2023-12-15 18:51:00,307.05,307.05,307.05,307.05,2.0
2023-12-15 18:50:00,307.2,307.2,307.0,307.0,206.0
2023-12-15 18:49:00,306.5,306.5,306.5,306.5,2.0
2023-12-15 18:47:00,307.2,307.2,307.2,307.2,2.0
2023-12-15 18:46:00,307.0,307.0,307.0,307.0,20.0
2023-12-15 18:42:00,307.0,307.0,307.0,307.0,1.0
2023-12-15 18:41:00,306.84,306.84,306.84,306.84,2.0
2023-12-15 18:40:00,307.08,307.08,306.25,306.25,10.0
2023-12-15 18:39:00,307.08,307.08,307.0,307.0,22.0
2023-12-15 18:34:00,307.06,307.06,307.0,307.0,189.0
2023-12-15 18:33:00,307.06,307.06,307.0,307.0,125.0
2023-12-15 18:32:00,307.06,307.06,307.06,307.06,4.0
2023-12-15 18:31:00,307.01,307.01,307.01,307.01,5.0
2023-12-15 18:27:00,307.7,307.7,307.7,307.7,5.0
2023-12-15 18:24:00,307.79,307.79,307.79,307.79,70.0
2023-12-15 18:20:00,307.28,307.3,307.28,307.3,4.0
2023-12-15 18:19:00,307.06,307.06,307.06,307.06,1.0
2023-12-15 18:15:00,307.06,307.06,307.06,307.06,10.0
2023-12-15 18:10:00,307.05,307.05,307.05,307.05,1.0
2023-12-15 18:09:00,307.042,307.042,307.042,307.042,5.0
2023-12-15 18:05:00,307.04,307.04,307.04,307.04,1.0
2023-12-15 18:03:00,307.79,307.79,307.28,307.28,8.0
2023-12-15 18:02:00,307.79,307.79,307.79,307.79,5.0
2023-12-15 17:58:00,307.2,308.609,305.85,307.27,32.0
2023-12-15 17:57:00,307.54,307.83,305.3,305.71,38.0
2023-12-15 17:56:00,306.429,308.91,305.74,308.09,18.0
2023-12-15 17:55:00,307.79,307.79,300.68,305.27,10.0
2023-12-15 17:52:00,307.21,308.44,305.825,307.41,34.0
2023-12-15 17:51:00,308.42,308.79,306.939,307.49,28.0
2023-12-15 17:50:00,303.792,307.73,302.369,307.73,22.0
2023-12-15 17:49:00,307.28,307.28,301.3,303.55,12.0
2023-12-15 17:48:00,307.04,307.04,307.04,307.04,5.0
2023-12-15 17:47:00,307.3,307.3,307.04,307.04,15.0
2023-12-15 17:45:00,307.03,307.79,307.03,307.79,2.0
2023-12-15 17:44:00,307.31,307.31,307.01,307.01,103.0
2023-12-15 17:43:00,307.5,307.5,307.5,307.5,10.0
2023-12-15 17:42:00,307.4,307.4,307.4,307.4,10.0
2023-12-15 17:40:00,307.5,307.5,307.5,307.5,1.0
2023-12-15 17:39:00,307.5,307.5,307.5,307.5,10.0
2023-12-15 17:38:00,307.6,307.6,307.6,307.6,1.0
2023-12-15 17:35:00,308.639,308.639,305.679,307.68,28.0
2023-12-15 17:34:00,306.74,308.869,305.9,308.869,43.0
2023-12-15 17:33:00,306.54,308.65,306.14,307.03,18.0
2023-12-15 17:32:00,301.03,307.369,301.03,307.369,8.0
2023-12-15 17:28:00,307.68,307.68,307.68,307.68,3.0
2023-12-15 17:27:00,307.68,307.68,307.68,307.68,3.0
2023-12-15 17:26:00,307.68,307.68,307.68,307.68,103.0
2023-12-15 17:22:00,307.68,307.68,307.68,307.68,2.0
2023-12-15 17:21:00,307.3,307.3,307.3,307.3,264041.0
2023-12-15 17:19:00,307.68,307.68,307.64,307.64,10.0
2023-12-15 17:18:00,307.3,307.3,307.3,307.3,2.0
2023-12-15 17:17:00,307.65,307.65,307.65,307.65,50.0
2023-12-15 17:14:00,307.65,307.65,307.4,307.65,23.0
2023-12-15 17:13:00,307.88,307.88,307.65,307.65,5.0
2023-12-15 17:12:00,307.25,307.25,307.25,307.25,1.0
2023-12-15 17:09:00,307.89,307.89,307.89,307.89,1.0
2023-12-15 17:06:00,307.33,307.33,307.33,307.33,3.0
2023-12-15 17:01:00,307.65,307.65,307.64,307.64,27.0
2023-12-15 17:00:00,307.33,307.33,307.33,307.33,5.0
2023-12-15 16:57:00,307.33,307.33,307.3,307.3,150.0
2023-12-15 16:54:00,307.34,307.34,307.33,307.33,10.0
2023-12-15 16:53:00,307.3,307.3,307.3,307.3,55158.0
2023-12-15 16:49:00,306.81,306.81,306.81,306.81,1.0
2023-12-15 16:47:00,307.74,307.74,307.74,307.74,10.0
2023-12-15 16:46:00,307.6,307.6,307.6,307.6,1.0
2023-12-15 16:45:00,307.6,307.6,307.6,307.6,1.0
2023-12-15 16:44:00,307.65,307.65,307.65,307.65,1.0
2023-12-15 16:43:00,307.7,307.7,306.81,307.7,70.0
2023-12-15 16:42:00,307.33,307.33,307.33,307.33,2.0
2023-12-15 16:38:00,307.74,307.74,307.74,307.74,5.0
2023-12-15 16:37:00,307.3,307.3,307.3,307.3,17.0
2023-12-15 16:36:00,307.67,307.74,307.67,307.74,30.0
2023-12-15 16:35:00,307.9,307.9,307.743,307.743,72.0
2023-12-15 16:34:00,307.2,307.2,307.2,307.2,7.0
2023-12-15 16:33:00,307.2,307.2,307.2,307.2,1.0
2023-12-15 16:31:00,307.9,307.9,307.25,307.25,21.0
2023-12-15 16:29:00,307.5,307.5,307.5,307.5,27.0
2023-12-15 16:26:00,307.3,307.3,307.3,307.3,7.0
2023-12-15 16:24:00,307.3,307.31,307.298,307.31,21007.0
2023-12-15 16:21:00,307.5,307.65,307.5,307.65,2.0
2023-12-15 16:20:00,307.65,307.65,307.65,307.65,70.0
2023-12-15 16:19:00,307.3,307.3,307.3,307.3,10.0
2023-12-15 16:18:00,307.3,307.74,307.3,307.3,522.0
2023-12-15 16:17:00,307.3,307.3,307.3,307.3,10.0
2023-12-15 16:16:00,307.3,307.3,307.3,307.3,71042.0
2023-12-15 16:15:00,307.3,307.3,307.3,307.3,1.0
2023-12-15 16:14:00,307.25,307.25,307.034,307.034,80.0
2023-12-15 16:12:00,307.3,307.3,307.3,307.3,30774.0
2023-12-15 16:11:00,307.3,307.3,307.3,307.3,11976.0
2023-12-15 16:10:00,307.3,307.3,307.3,307.3,3670.0
2023-12-15 16:09:00,307.3,307.3,307.294,307.294,31327.0
2023-12-15 16:08:00,307.3,308.05,307.3,307.3,5273.0
2023-12-15 16:07:00,308.89,308.89,307.3,307.3,3202.0
2023-12-15 16:06:00,307.3,307.3,307.3,307.3,13314.0
2023-12-15 16:05:00,307.3,307.3,307.21,307.3,29399.0
2023-12-15 16:04:00,307.3,307.5,307.292,307.3,304130.0
2023-12-15 16:03:00,307.3,308.0,306.0,307.3,1591.0
2023-12-15 16:02:00,307.3,307.99,307.3,307.99,1120.0
2023-12-15 16:01:00,307.3,308.782,306.952,306.952,8478.0
2023-12-15 16:00:00,307.26,307.3,307.06,307.3,5493970.0
2023-12-15 15:59:00,307.46,307.46,307.19,307.26,116959.0
2023-12-15 15:58:00,307.53,307.535,307.295,307.43,47850.0
2023-12-15 15:57:00,307.57,307.66,307.3,307.545,52232.0
2023-12-15 15:56:00,307.74,307.77,307.38,307.535,51801.0
2023-12-15 15:55:00,307.63,307.95,307.14,307.8,57444.0
2023-12-15 15:54:00,308.45,308.45,307.53,307.62,50493.0
2023-12-15 15:53:00,308.14,308.482,308.12,308.32,32309.0
2023-12-15 15:52:00,308.565,308.565,307.88,308.14,53854.0
2023-12-15 15:51:00,308.28,308.59,308.28,308.565,40805.0
2023-12-15 15:50:00,307.58,308.84,307.54,308.36,125969.0
2023-12-15 15:49:00,307.24,307.58,307.22,307.54,48579.0
2023-12-15 15:48:00,307.21,307.27,307.17,307.24,15033.0
2023-12-15 15:47:00,307.23,307.255,307.14,307.17,12448.0
2023-12-15 15:46:00,307.145,307.27,307.11,307.235,11850.0
2023-12-15 15:45:00,307.19,307.252,307.11,307.145,12975.0
2023-12-15 15:44:00,307.16,307.23,307.13,307.18,10282.0
2023-12-15 15:43:00,307.095,307.24,307.04,307.13,11888.0
2023-12-15 15:42:00,307.005,307.17,307.005,307.06,13806.0
2023-12-15 15:41:00,306.885,307.03,306.88,307.0,12832.0
2023-12-15 15:40:00,306.97,307.04,306.875,306.885,12683.0
2023-12-15 15:39:00,306.77,306.96,306.7,306.96,8146.0
2023-12-15 15:38:00,306.54,306.76,306.54,306.76,9767.0
2023-12-15 15:37:00,306.62,306.62,306.53,306.55,10151.0
2023-12-15 15:36:00,306.7,306.7,306.57,306.57,6497.0
2023-12-15 15:35:00,306.86,307.01,306.7,306.72,6158.0
2023-12-15 15:34:00,307.11,307.253,306.97,306.97,5721.0
2023-12-15 15:33:00,307.455,307.455,307.1,307.1,13643.0
2023-12-15 15:32:00,307.295,307.45,307.275,307.45,6302.0
2023-12-15 15:31:00,307.34,307.37,307.21,307.32,8620.0
2023-12-15 15:30:00,307.26,307.43,307.255,307.399,10988.0
2023-12-15 15:29:00,307.3,307.33,307.23,307.24,5114.0
2023-12-15 15:28:00,307.4,307.4,307.26,307.312,5764.0
2023-12-15 15:27:00,307.433,307.5,307.32,307.37,7870.0
2023-12-15 15:26:00,307.35,307.42,307.35,307.4,2818.0
2023-12-15 15:25:00,307.25,307.37,307.225,307.27,6625.0
2023-12-15 15:24:00,307.15,307.245,307.135,307.2,4547.0
2023-12-15 15:23:00,307.134,307.16,307.101,307.15,5593.0
2023-12-15 15:22:00,306.85,307.105,306.825,307.105,5087.0
2023-12-15 15:21:00,306.66,306.865,306.645,306.865,5185.0
2023-12-15 15:20:00,306.67,306.67,306.64,306.66,1931.0
2023-12-15 15:19:00,306.3,306.67,306.225,306.67,9317.0
2023-12-15 15:18:00,306.465,306.53,306.19,306.19,9155.0
2023-12-15 15:17:00,306.59,306.59,306.42,306.465,8485.0
2023-12-15 15:16:00,306.61,306.635,306.5,306.5,7132.0
2023-12-15 15:15:00,306.715,306.72,306.59,306.64,7384.0
2023-12-15 15:14:00,306.765,306.85,306.715,306.715,4624.0
2023-12-15 15:13:00,306.72,306.8,306.72,306.75,7482.0
2023-12-15 15:12:00,306.78,306.78,306.605,306.67,5564.0
2023-12-15 15:11:00,306.67,306.779,306.67,306.779,4541.0
2023-12-15 15:10:00,306.6,306.68,306.54,306.59,4074.0
2023-12-15 15:09:00,306.79,306.79,306.59,306.59,9853.0
