,open,high,low,close,volume
2024-04-17 19:59:00,168.425,168.45,168.41,168.445,417.0
2024-04-17 19:58:00,168.35,168.44,168.34,168.41,701.0
2024-04-17 19:57:00,168.29,168.42,168.23,168.42,297.0
2024-04-17 19:56:00,168.36,168.36,168.23,168.28,1101.0
2024-04-17 19:55:00,168.26,168.38,168.23,168.295,3229.0
2024-04-17 19:54:00,168.325,168.33,168.26,168.26,658.0
2024-04-17 19:53:00,168.35,168.35,168.3,168.325,159.0
2024-04-17 19:52:00,168.33,168.44,168.31,168.35,341.0
2024-04-17 19:51:00,168.305,168.35,168.29,168.34,454.0
2024-04-17 19:50:00,168.24,168.37,168.24,168.295,2071.0
2024-04-17 19:49:00,168.26,168.3,168.22,168.27,161.0
2024-04-17 19:48:00,168.24,168.3,168.22,168.23,166.0
2024-04-17 19:47:00,168.195,168.27,168.17,168.24,2025.0
2024-04-17 19:46:00,168.25,168.25,168.17,168.22,817.0
2024-04-17 19:45:00,168.25,168.29,168.21,168.225,2169.0
2024-04-17 19:44:00,168.305,168.31,168.25,168.26,421.0
2024-04-17 19:43:00,168.34,168.34,168.285,168.305,1028.0
2024-04-17 19:42:00,168.345,168.39,168.32,168.32,682.0
2024-04-17 19:41:00,168.315,168.39,168.27,168.3,2354.0
2024-04-17 19:40:00,168.32,168.35,168.252,168.315,442.0
2024-04-17 19:39:00,168.3,168.33,168.3,168.325,64.0
2024-04-17 19:38:00,168.3,168.35,168.25,168.3,156.0
2024-04-17 19:37:00,168.3,168.35,168.29,168.3,147.0
2024-04-17 19:36:00,168.3,168.35,168.25,168.3,38.0
2024-04-17 19:35:00,168.3,168.35,168.25,168.3,391.0
2024-04-17 19:34:00,168.295,168.3,168.25,168.3,60.0
2024-04-17 19:33:00,168.295,168.38,168.21,168.29,91.0
2024-04-17 19:32:00,168.295,168.38,168.21,168.21,560.0
2024-04-17 19:31:00,168.38,168.38,168.28,168.315,26.0
2024-04-17 19:30:00,168.2,168.38,168.2,168.295,376.0
2024-04-17 19:29:00,168.33,168.38,168.2,168.275,197.0
2024-04-17 19:28:00,168.33,168.39,168.27,168.39,41.0
2024-04-17 19:27:00,168.25,168.39,168.2,168.33,207.0
2024-04-17 19:26:00,168.25,168.32,168.2,168.25,653.0
2024-04-17 19:25:00,168.25,168.39,168.25,168.3,627.0
2024-04-17 19:24:00,168.3,168.39,168.25,168.35,180.0
2024-04-17 19:23:00,168.36,168.4,168.3,168.39,677.0
2024-04-17 19:22:00,168.31,168.36,168.31,168.36,84.0
