,open,high,low,close,volume
2024-04-17 19:59:00,181.13,181.15,181.09,181.15,885.0
2024-04-17 19:58:00,181.09,181.15,181.09,181.12,516.0
2024-04-17 19:57:00,181.05,181.1,181.05,181.05,2290.0
2024-04-17 19:56:00,181.12,181.15,181.06,181.06,1660.0
2024-04-17 19:55:00,181.13,181.15,181.12,181.15,412.0
2024-04-17 19:54:00,181.12,181.13,181.11,181.11,155.0
2024-04-17 19:53:00,181.13,181.13,181.11,181.12,155.0
2024-04-17 19:52:00,181.12,181.14,181.12,181.13,265.0
2024-04-17 19:51:00,181.11,181.14,181.11,181.14,23.0
2024-04-17 19:50:00,181.12,181.14,181.11,181.125,428.0
2024-04-17 19:49:00,181.139,181.14,181.11,181.11,157.0
2024-04-17 19:48:00,181.125,181.14,181.11,181.125,270.0
2024-04-17 19:47:00,181.12,181.14,181.12,181.14,73.0
2024-04-17 19:46:00,181.125,181.14,181.12,181.14,324.0
2024-04-17 19:45:00,181.14,181.15,181.125,181.125,313.0
2024-04-17 19:44:00,181.14,181.15,181.14,181.15,29.0
2024-04-17 19:43:00,181.15,181.15,181.13,181.145,58.0
2024-04-17 19:42:00,181.13,181.15,181.12,181.15,514.0
2024-04-17 19:41:00,181.13,181.15,181.1,181.15,2129.0
2024-04-17 19:40:00,181.11,181.13,181.11,181.13,587.0
2024-04-17 19:39:00,181.115,181.13,181.1,181.11,604.0
2024-04-17 19:38:00,181.115,181.13,181.1,181.13,116.0
2024-04-17 19:37:00,181.15,181.15,181.13,181.13,642.0
2024-04-17 19:36:00,181.15,181.15,181.14,181.14,9.0
2024-04-17 19:35:00,181.13,181.14,181.13,181.14,13.0
2024-04-17 19:34:00,181.15,181.15,181.13,181.14,4158.0
2024-04-17 19:33:00,181.19,181.2,181.15,181.175,336.0
2024-04-17 19:32:00,181.175,181.2,181.175,181.2,472.0
2024-04-17 19:31:00,181.175,181.2,181.15,181.15,258.0
2024-04-17 19:30:00,181.13,181.2,181.13,181.15,2393.0
2024-04-17 19:29:00,181.15,181.15,181.13,181.15,2336.0
2024-04-17 19:28:00,181.13,181.15,181.11,181.13,119.0
2024-04-17 19:27:00,181.15,181.15,181.13,181.13,42.0
2024-04-17 19:26:00,181.13,181.13,181.11,181.13,134.0
2024-04-17 19:25:00,181.15,181.15,181.11,181.15,128.0
2024-04-17 19:24:00,181.149,181.15,181.1,181.15,549.0
2024-04-17 19:23:00,181.125,181.15,181.1,181.125,1082.0
2024-04-17 19:22:00,181.15,181.15,181.105,181.105,1288.0
2024-04-17 19:21:00,181.14,181.15,181.11,181.15,1106.0
2024-04-17 19:20:00,181.105,181.15,181.06,181.15,12.0
2024-04-17 19:19:00,181.08,181.15,181.08,181.105,649.0
2024-04-17 19:18:00,181.09,181.09,181.06,181.09,38.0
2024-04-17 19:17:00,181.075,181.09,181.06,181.075,32.0
2024-04-17 19:16:00,181.105,181.105,181.09,181.09,35.0
2024-04-17 19:15:00,181.08,181.15,181.06,181.06,423.0
2024-04-17 19:14:00,181.105,181.15,181.06,181.1,36.0
2024-04-17 19:13:00,181.105,181.15,181.06,181.06,62.0
2024-04-17 19:12:00,181.15,181.15,181.06,181.06,136.0
2024-04-17 19:11:00,181.06,181.15,181.06,181.06,195.0
2024-04-17 19:10:00,181.13,181.15,181.06,181.06,559.0
2024-04-17 19:09:00,181.105,181.15,181.06,181.105,4.0
2024-04-17 19:08:00,181.06,181.15,181.06,181.07,3137.0
2024-04-17 19:07:00,181.15,181.15,181.06,181.06,37.0
2024-04-17 19:06:00,181.105,181.15,181.06,181.06,315.0
2024-04-17 19:05:00,181.15,181.15,181.06,181.148,55.0
2024-04-17 19:04:00,181.105,181.105,181.06,181.08,105.0
2024-04-17 19:03:00,181.06,181.15,181.06,181.06,33.0
2024-04-17 19:02:00,181.13,181.14,181.01,181.05,2845.0
2024-04-17 19:01:00,181.1,181.14,181.1,181.14,164.0
2024-04-17 19:00:00,181.105,181.15,181.06,181.06,24.0
2024-04-17 18:59:00,181.05,181.15,181.05,181.09,594.0
2024-04-17 18:58:00,181.06,181.15,181.05,181.123,159.0
2024-04-17 18:57:00,181.08,181.15,181.07,181.15,143.0
2024-04-17 18:56:00,181.04,181.147,181.04,181.09,52.0
2024-04-17 18:55:00,181.04,181.15,181.04,181.15,114.0
2024-04-17 18:54:00,181.1,181.1,181.04,181.1,610.0
2024-04-17 18:53:00,181.095,181.15,181.04,181.15,569.0
2024-04-17 18:52:00,181.09,181.15,181.04,181.1,159.0
2024-04-17 18:51:00,181.11,181.15,181.07,181.07,59.0
2024-04-17 18:50:00,181.12,181.149,181.1,181.1,1615.0
2024-04-17 18:49:00,181.149,181.15,181.12,181.14,113.0
2024-04-17 18:48:00,181.13,181.15,181.13,181.15,133.0
2024-04-17 18:47:00,181.12,181.15,181.11,181.11,534.0
2024-04-17 18:46:00,181.11,181.15,181.11,181.12,175.0
2024-04-17 18:45:00,181.13,181.13,181.11,181.13,412.0
2024-04-17 18:44:00,181.13,181.15,181.13,181.14,701.0
2024-04-17 18:43:00,181.13,181.15,181.11,181.13,257.0
2024-04-17 18:42:00,181.11,181.15,181.11,181.12,150.0
2024-04-17 18:41:00,181.149,181.15,181.11,181.11,1051.0
2024-04-17 18:40:00,181.15,181.15,181.1,181.125,611.0
2024-04-17 18:39:00,181.15,181.2,181.1,181.1,113.0
2024-04-17 18:38:00,181.15,181.2,181.1,181.2,144.0
2024-04-17 18:37:00,181.19,181.2,181.1,181.2,457.0
2024-04-17 18:36:00,181.155,181.2,181.11,181.19,167.0
2024-04-17 18:35:00,181.155,181.2,181.11,181.16,80.0
2024-04-17 18:34:00,181.2,181.2,181.11,181.155,450.0
2024-04-17 18:33:00,181.16,181.2,181.155,181.2,19.0
2024-04-17 18:32:00,181.15,181.16,181.12,181.155,111.0
2024-04-17 18:31:00,181.2,181.2,181.11,181.16,495.0
2024-04-17 18:30:00,181.11,181.2,181.11,181.11,99.0
2024-04-17 18:29:00,181.13,181.2,181.11,181.11,295.0
2024-04-17 18:28:00,181.18,181.18,181.112,181.15,89.0
2024-04-17 18:27:00,181.2,181.2,181.11,181.2,33.0
2024-04-17 18:26:00,181.18,181.2,181.1,181.15,74.0
2024-04-17 18:25:00,181.1,181.15,181.1,181.1,1072.0
2024-04-17 18:24:00,181.11,181.15,181.1,181.15,260.0
2024-04-17 18:23:00,181.11,181.15,181.11,181.15,1048.0
2024-04-17 18:22:00,181.15,181.16,181.1,181.125,667.0
2024-04-17 18:21:00,181.14,181.15,181.1,181.11,1693.0
2024-04-17 18:20:00,181.14,181.15,181.125,181.125,32.0
2024-04-17 18:19:00,181.125,181.15,181.101,181.125,716.0
2024-04-17 18:18:00,181.15,181.15,181.11,181.125,637.0
2024-04-17 18:17:00,181.125,181.15,181.11,181.13,99.0
2024-04-17 18:16:00,181.12,181.15,181.1,181.125,314.0
2024-04-17 18:15:00,181.12,181.15,181.11,181.125,36.0
2024-04-17 18:14:00,181.15,181.2,181.12,181.125,518.0
2024-04-17 18:13:00,181.175,181.2,181.15,181.15,16.0
2024-04-17 18:12:00,181.17,181.2,181.15,181.16,214.0
2024-04-17 18:11:00,181.2,181.2,181.17,181.185,110.0
2024-04-17 18:10:00,181.18,181.2,181.18,181.18,2329.0
2024-04-17 18:09:00,181.19,181.2,181.18,181.19,210.0
2024-04-17 18:08:00,181.19,181.2,181.15,181.19,2169.0
2024-04-17 18:07:00,181.285,181.29,181.15,181.15,3488.0
2024-04-17 18:06:00,181.275,181.346,181.27,181.346,26.0
2024-04-17 18:05:00,181.28,181.3,181.275,181.275,16.0
2024-04-17 18:04:00,181.275,181.35,181.2,181.275,12.0
2024-04-17 18:03:00,181.28,181.35,181.2,181.275,323.0
2024-04-17 18:02:00,181.28,181.35,181.28,181.349,5.0
2024-04-17 18:01:00,181.3,181.35,181.28,181.28,8953.0
2024-04-17 18:00:00,181.28,181.35,181.275,181.35,106.0
2024-04-17 17:59:00,181.35,181.35,181.2,181.275,40.0
2024-04-17 17:58:00,181.25,181.35,181.2,181.2,267.0
2024-04-17 17:57:00,181.3,181.31,181.2,181.31,497.0
2024-04-17 17:56:00,181.32,181.32,181.295,181.295,145.0
2024-04-17 17:55:00,181.319,181.319,181.3,181.3,12.0
2024-04-17 17:54:00,181.325,181.37,181.28,181.325,555.0
2024-04-17 17:53:00,181.28,181.37,181.28,181.37,1297.0
2024-04-17 17:52:00,181.28,181.37,181.28,181.37,149.0
2024-04-17 17:51:00,181.37,181.37,181.31,181.34,52.0
2024-04-17 17:50:00,181.31,181.37,181.31,181.34,23.0
2024-04-17 17:49:00,181.34,181.34,181.34,181.34,502.0
2024-04-17 17:48:00,181.33,181.37,181.31,181.34,63.0
2024-04-17 17:47:00,181.33,181.37,181.31,181.31,442.0
2024-04-17 17:46:00,181.31,181.34,181.31,181.325,14.0
2024-04-17 17:45:00,181.37,181.37,181.31,181.34,34.0
2024-04-17 17:44:00,181.34,181.37,181.31,181.31,58.0
2024-04-17 17:43:00,181.35,181.37,181.31,181.35,23.0
2024-04-17 17:42:00,181.34,181.37,181.31,181.361,116.0
2024-04-17 17:41:00,181.365,181.37,181.32,181.35,85.0
2024-04-17 17:40:00,181.34,184.31,181.31,181.365,673.0
2024-04-17 17:39:00,181.32,181.37,181.311,181.37,40.0
2024-04-17 17:38:00,181.31,181.34,181.26,181.31,385.0
2024-04-17 17:37:00,181.37,181.37,181.31,181.31,18.0
2024-04-17 17:36:00,181.3,181.37,181.25,181.31,170.0
2024-04-17 17:35:00,181.37,181.37,181.25,181.3,236.0
2024-04-17 17:34:00,181.29,181.37,181.21,181.37,39.0
2024-04-17 17:33:00,181.366,181.37,181.21,181.312,77.0
2024-04-17 17:32:00,181.28,181.42,181.21,181.42,37.0
2024-04-17 17:31:00,181.3,181.315,181.28,181.3,461.0
2024-04-17 17:30:00,181.42,181.42,181.2,181.3,44.0
2024-04-17 17:29:00,181.2,181.42,181.2,181.3,66.0
2024-04-17 17:28:00,181.3,181.35,181.3,181.3,14.0
2024-04-17 17:27:00,181.31,181.36,181.3,181.359,187.0
2024-04-17 17:26:00,181.33,181.36,181.3,181.3,41.0
2024-04-17 17:25:00,181.33,181.36,181.3,181.33,63.0
2024-04-17 17:24:00,181.36,181.36,181.3,181.36,631.0
2024-04-17 17:23:00,181.33,181.36,181.3,181.33,167.0
2024-04-17 17:22:00,181.3,181.36,181.3,181.3,1091.0
2024-04-17 17:21:00,181.3,181.36,181.3,181.36,765.0
2024-04-17 17:20:00,181.28,181.36,181.25,181.28,340.0
2024-04-17 17:19:00,181.305,181.36,181.25,181.28,44.0
2024-04-17 17:18:00,181.26,181.36,181.26,181.36,156.0
2024-04-17 17:17:00,181.357,181.36,181.25,181.305,33.0
2024-04-17 17:16:00,181.36,181.36,181.26,181.357,43.0
2024-04-17 17:15:00,181.36,181.36,181.25,181.305,303.0
2024-04-17 17:14:00,181.36,181.36,181.3,181.36,57.0
2024-04-17 17:13:00,181.25,181.36,181.25,181.36,530.0
2024-04-17 17:12:00,181.25,181.26,181.22,181.24,62.0
2024-04-17 17:11:00,181.22,181.25,181.2,181.22,466.0
2024-04-17 17:10:00,181.19,181.24,181.19,181.22,3.0
2024-04-17 17:09:00,181.19,181.24,181.19,181.215,3060.0
2024-04-17 17:08:00,181.2,181.28,181.2,181.235,814.0
2024-04-17 17:07:00,181.19,181.22,181.19,181.19,67.0
2024-04-17 17:06:00,181.2,181.28,181.2,181.205,61027.0
2024-04-17 17:05:00,181.21,181.24,181.2,181.21,201.0
2024-04-17 17:04:00,181.22,181.22,181.21,181.21,260.0
2024-04-17 17:03:00,181.22,181.22,181.18,181.21,104.0
