,open,high,low,close,volume
2024-04-17 19:59:00,156.71,156.79,156.71,156.71,128.0
2024-04-17 19:58:00,156.83,156.85,156.7,156.74,503.0
2024-04-17 19:57:00,156.81,156.83,156.81,156.83,239.0
2024-04-17 19:56:00,156.79,156.86,156.78,156.78,264.0
2024-04-17 19:55:00,156.79,156.8,156.79,156.8,19.0
2024-04-17 19:54:00,156.83,156.83,156.8,156.8,50.0
2024-04-17 19:52:00,156.9,156.9,156.89,156.89,113.0
2024-04-17 19:51:00,156.9,156.9,156.85,156.85,202.0
2024-04-17 19:50:00,156.9,156.9,156.9,156.9,13.0
2024-04-17 19:49:00,156.92,156.92,156.92,156.92,1.0
2024-04-17 19:48:00,156.93,156.93,156.88,156.88,164.0
2024-04-17 19:47:00,156.915,156.93,156.88,156.88,1041.0
2024-04-17 19:46:00,156.95,156.95,156.91,156.91,41.0
2024-04-17 19:45:00,156.88,156.97,156.88,156.97,136.0
2024-04-17 19:44:00,156.92,156.96,156.92,156.96,32.0
2024-04-17 19:43:00,156.95,156.95,156.95,156.95,10.0
2024-04-17 19:42:00,156.92,156.95,156.9,156.95,59.0
2024-04-17 19:40:00,156.94,156.95,156.91,156.935,159.0
2024-04-17 19:39:00,156.93,156.93,156.92,156.92,83.0
2024-04-17 19:38:00,156.945,156.945,156.945,156.945,1.0
2024-04-17 19:36:00,156.97,156.97,156.94,156.945,105.0
2024-04-17 19:35:00,156.93,156.96,156.93,156.96,48.0
2024-04-17 19:33:00,156.945,156.945,156.945,156.945,1.0
2024-04-17 19:31:00,156.93,156.97,156.93,156.945,30.0
2024-04-17 19:30:00,156.93,156.97,156.93,156.97,83.0
2024-04-17 19:29:00,156.96,156.96,156.96,156.96,2.0
2024-04-17 19:27:00,156.9,156.95,156.9,156.95,2.0
2024-04-17 19:26:00,156.93,156.95,156.93,156.95,4.0
2024-04-17 19:25:00,156.93,156.93,156.93,156.93,4.0
2024-04-17 19:23:00,156.93,156.96,156.92,156.93,267.0
2024-04-17 19:22:00,156.96,156.98,156.92,156.92,24.0
2024-04-17 19:20:00,157.01,157.01,156.93,156.98,421.0
2024-04-17 19:17:00,157.01,157.01,157.0,157.0,2.0
2024-04-17 19:16:00,157.045,157.045,157.045,157.045,1.0
2024-04-17 19:15:00,157.03,157.03,157.03,157.03,5.0
2024-04-17 19:14:00,157.03,157.03,157.03,157.03,5.0
2024-04-17 19:13:00,157.0,157.085,157.0,157.0,3.0
2024-04-17 19:12:00,157.03,157.03,157.03,157.03,7.0
2024-04-17 19:11:00,157.0,157.01,157.0,157.01,507.0
2024-04-17 19:10:00,157.02,157.02,157.0,157.0,3.0
2024-04-17 19:09:00,157.085,157.085,157.085,157.085,1.0
2024-04-17 19:08:00,157.0,157.0,157.0,157.0,1.0
2024-04-17 19:07:00,157.11,157.15,157.01,157.01,115.0
2024-04-17 19:06:00,157.11,157.11,157.11,157.11,40.0
2024-04-17 19:05:00,157.15,157.15,157.0,157.0,113.0
2024-04-17 19:03:00,157.04,157.15,157.03,157.15,52.0
2024-04-17 19:02:00,157.04,157.14,157.0,157.14,467.0
2024-04-17 19:01:00,157.15,157.15,157.15,157.15,1.0
2024-04-17 18:59:00,157.0,157.04,157.0,157.04,2.0
2024-04-17 18:57:00,157.04,157.04,157.04,157.04,1.0
2024-04-17 18:56:00,156.97,157.0,156.96,157.0,51.0
2024-04-17 18:55:00,157.11,157.135,157.11,157.135,42.0
2024-04-17 18:54:00,157.1,157.168,157.1,157.168,201.0
2024-04-17 18:52:00,157.125,157.125,157.101,157.101,34.0
2024-04-17 18:51:00,157.11,157.11,157.11,157.11,7.0
2024-04-17 18:50:00,157.15,157.15,157.1,157.1,130.0
2024-04-17 18:48:00,157.1,157.1,157.1,157.1,100.0
2024-04-17 18:47:00,157.11,157.17,157.11,157.17,2.0
2024-04-17 18:46:00,157.11,157.11,157.11,157.11,34.0
2024-04-17 18:45:00,157.135,157.135,157.135,157.135,1.0
2024-04-17 18:44:00,157.17,157.17,157.17,157.17,3.0
2024-04-17 18:43:00,157.1,157.135,157.1,157.135,2.0
2024-04-17 18:42:00,157.11,157.11,157.1,157.1,51.0
2024-04-17 18:41:00,157.12,157.12,157.11,157.11,150.0
2024-04-17 18:40:00,157.1,157.1,157.1,157.1,1200.0
2024-04-17 18:39:00,157.1,157.11,157.1,157.11,1044.0
2024-04-17 18:37:00,157.17,157.17,157.1,157.1,501.0
2024-04-17 18:36:00,157.1,157.11,157.1,157.11,26.0
2024-04-17 18:35:00,157.1,157.11,157.1,157.11,60.0
2024-04-17 18:33:00,157.11,157.13,157.1,157.13,7.0
2024-04-17 18:32:00,157.1,157.16,157.1,157.1,330.0
2024-04-17 18:30:00,157.1,157.135,157.03,157.13,3024.0
2024-04-17 18:29:00,157.135,157.135,157.135,157.135,1.0
2024-04-17 18:28:00,157.09,157.1,157.05,157.1,495.0
2024-04-17 18:27:00,157.065,157.065,157.065,157.065,4.0
2024-04-17 18:26:00,157.04,157.04,157.04,157.04,1.0
2024-04-17 18:24:00,157.05,157.05,157.04,157.04,124.0
2024-04-17 18:22:00,157.04,157.04,157.04,157.04,50.0
2024-04-17 18:21:00,157.09,157.1,157.09,157.1,12.0
2024-04-17 18:20:00,157.1,157.1,157.1,157.1,1.0
2024-04-17 18:19:00,157.05,157.05,157.03,157.03,82.0
2024-04-17 18:18:00,157.03,157.065,157.03,157.065,4.0
2024-04-17 18:17:00,157.1,157.1,157.1,157.1,90.0
2024-04-17 18:16:00,157.06,157.099,157.06,157.065,108.0
2024-04-17 18:15:00,157.04,157.04,157.04,157.04,6.0
2024-04-17 18:14:00,157.03,157.03,157.03,157.03,70.0
2024-04-17 18:13:00,157.03,157.065,157.03,157.03,17.0
2024-04-17 18:11:00,157.06,157.1,157.0,157.1,201.0
2024-04-17 18:10:00,157.04,157.04,157.04,157.04,1.0
2024-04-17 18:09:00,157.03,157.05,157.01,157.01,13.0
2024-04-17 18:08:00,157.1,157.1,156.99,157.0,79.0
2024-04-17 18:07:00,157.01,157.1,157.01,157.1,2.0
2024-04-17 18:06:00,157.1,157.1,157.1,157.1,10.0
2024-04-17 18:05:00,157.0,157.0,156.92,156.92,25.0
2024-04-17 18:04:00,156.96,156.99,156.96,156.99,3.0
2024-04-17 18:03:00,156.96,157.01,156.92,156.96,61.0
2024-04-17 18:02:00,157.01,157.01,156.96,156.96,3.0
2024-04-17 18:01:00,156.94,157.02,156.94,157.02,22.0
2024-04-17 17:59:00,156.92,157.01,156.92,157.01,8.0
2024-04-17 17:56:00,156.92,156.92,156.92,156.92,9.0
2024-04-17 17:55:00,156.92,156.95,156.92,156.95,69.0
2024-04-17 17:54:00,156.92,156.92,156.92,156.92,20.0
2024-04-17 17:52:00,157.01,157.01,157.01,157.01,1.0
2024-04-17 17:51:00,156.92,156.92,156.92,156.92,5.0
2024-04-17 17:50:00,156.96,157.01,156.96,157.01,2.0
2024-04-17 17:49:00,157.1,157.1,157.1,157.1,25.0
2024-04-17 17:48:00,157.11,157.11,157.11,157.11,64.0
2024-04-17 17:47:00,156.92,156.92,156.92,156.92,1.0
2024-04-17 17:46:00,157.05,157.05,156.925,156.925,601.0
2024-04-17 17:45:00,156.92,157.11,156.92,157.11,300.0
2024-04-17 17:44:00,156.97,156.97,156.92,156.92,34.0
2024-04-17 17:41:00,156.97,157.11,156.97,157.11,3.0
2024-04-17 17:40:00,156.97,157.015,156.97,157.015,28.0
2024-04-17 17:38:00,156.92,156.97,156.92,156.97,26.0
2024-04-17 17:37:00,157.015,157.015,157.015,157.015,1.0
2024-04-17 17:36:00,157.015,157.015,157.015,157.015,2.0
2024-04-17 17:35:00,157.015,157.015,156.92,157.015,102.0
2024-04-17 17:34:00,157.01,157.11,157.01,157.11,58.0
2024-04-17 17:33:00,156.88,156.88,156.88,156.88,49000.0
2024-04-17 17:32:00,156.96,156.96,156.92,156.92,8.0
2024-04-17 17:30:00,156.97,156.97,156.91,156.91,73.0
2024-04-17 17:29:00,156.98,156.98,156.97,156.97,55.0
2024-04-17 17:27:00,156.91,156.91,156.91,156.91,1.0
2024-04-17 17:26:00,156.94,156.97,156.94,156.97,102.0
2024-04-17 17:24:00,156.905,156.905,156.905,156.905,1.0
2024-04-17 17:22:00,156.9,156.9,156.9,156.9,300.0
2024-04-17 17:21:00,156.895,156.91,156.89,156.91,53.0
2024-04-17 17:20:00,156.93,156.93,156.88,156.91,186.0
