,open,high,low,close,volume
2024-04-17 19:59:00,494.44,494.5,494.44,494.5,1248.0
2024-04-17 19:58:00,494.4,494.48,494.26,494.478,130.0
2024-04-17 19:57:00,494.48,494.48,494.37,494.41,164.0
2024-04-17 19:56:00,494.48,494.48,494.37,494.38,176.0
2024-04-17 19:55:00,494.31,494.31,494.31,494.31,13.0
2024-04-17 19:54:00,494.45,494.48,494.26,494.26,406.0
2024-04-17 19:53:00,494.37,494.4,494.37,494.4,42.0
2024-04-17 19:52:00,494.48,494.48,494.35,494.45,41.0
2024-04-17 19:51:00,494.26,494.4,494.25,494.3,170.0
2024-04-17 19:50:00,494.4,494.4,494.17,494.25,404.0
2024-04-17 19:49:00,494.25,494.36,494.17,494.36,102.0
2024-04-17 19:48:00,494.39,494.39,494.25,494.25,7.0
2024-04-17 19:47:00,494.22,494.39,494.17,494.25,67.0
2024-04-17 19:46:00,494.24,494.28,494.18,494.28,242.0
2024-04-17 19:45:00,494.2,494.4,494.17,494.2,329.0
2024-04-17 19:44:00,494.3,494.39,494.17,494.25,227.0
2024-04-17 19:43:00,494.39,494.39,494.285,494.285,48.0
2024-04-17 19:42:00,494.3,494.39,494.17,494.285,119.0
2024-04-17 19:41:00,494.21,494.3,494.11,494.3,100.0
2024-04-17 19:40:00,494.22,494.39,494.21,494.35,31.0
2024-04-17 19:39:00,494.14,494.3,494.1,494.25,254.0
2024-04-17 19:38:00,494.21,494.4,494.03,494.4,123.0
2024-04-17 19:36:00,494.21,494.22,494.03,494.22,43.0
2024-04-17 19:35:00,494.03,494.4,494.03,494.4,102.0
2024-04-17 19:34:00,494.215,494.215,494.14,494.215,5.0
2024-04-17 19:33:00,494.11,494.2,494.11,494.2,35.0
2024-04-17 19:32:00,494.03,494.215,494.03,494.12,35.0
2024-04-17 19:31:00,494.17,494.37,494.12,494.25,394.0
2024-04-17 19:30:00,494.11,494.17,494.03,494.17,550.0
2024-04-17 19:29:00,494.18,494.18,493.78,493.78,392.0
2024-04-17 19:28:00,494.18,494.25,494.18,494.2,763.0
2024-04-17 19:27:00,494.16,494.18,493.79,494.18,451.0
2024-04-17 19:26:00,493.99,494.2,493.97,493.97,7.0
2024-04-17 19:25:00,494.0,494.0,493.89,493.93,208.0
2024-04-17 19:24:00,493.93,494.1,493.93,494.1,67.0
2024-04-17 19:23:00,494.1,494.11,493.9,493.94,468.0
2024-04-17 19:22:00,493.78,494.18,493.78,494.1,434.0
2024-04-17 19:21:00,494.18,494.18,493.99,494.0,732.0
2024-04-17 19:20:00,494.0,494.18,493.99,494.18,531.0
2024-04-17 19:19:00,494.08,494.1,494.08,494.08,61.0
2024-04-17 19:18:00,493.9,493.9,493.9,493.9,1.0
