,open,high,low,close,volume
2024-04-03 19:59:00,894.52,894.96,894.52,894.96,6260.0
2024-04-03 19:58:00,894.6,894.9,894.3,894.74,1992.0
2024-04-03 19:57:00,894.9,895.0,894.5,894.6,4267.0
2024-04-03 19:56:00,894.98,894.98,894.5,894.85,1629.0
2024-04-03 19:55:00,894.8,895.0,894.25,894.98,1761.0
2024-04-03 19:54:00,894.15,894.9,894.02,894.77,4897.0
2024-04-03 19:53:00,893.75,894.25,893.75,894.04,1223.0
2024-04-03 19:52:00,894.24,894.25,893.75,894.0,2204.0
2024-04-03 19:51:00,894.15,894.44,894.0,894.28,466.0
2024-04-03 19:50:00,894.1,894.5,894.0,894.3,1213.0
2024-04-03 19:49:00,894.125,894.5,893.75,894.06,1304.0
2024-04-03 19:48:00,894.0,894.5,893.7,894.0,1961.0
2024-04-03 19:47:00,893.53,894.28,893.5,893.94,2830.0
2024-04-03 19:46:00,894.7,894.7,893.12,893.45,2905.0
2024-04-03 19:45:00,894.75,894.96,893.8,893.8,5982.0
2024-04-03 19:44:00,894.56,894.75,894.5,894.63,1402.0
2024-04-03 19:43:00,894.525,894.75,894.25,894.75,715.0
2024-04-03 19:42:00,894.54,894.75,894.2,894.5,1523.0
2024-04-03 19:41:00,894.78,895.0,894.31,894.585,1482.0
2024-04-03 19:40:00,894.8,895.5,894.5,894.655,970.0
2024-04-03 19:39:00,895.21,895.5,894.6,895.0,1614.0
2024-04-03 19:38:00,894.97,895.58,894.51,895.25,2445.0
2024-04-03 19:37:00,894.5,894.98,894.2,894.695,1048.0
2024-04-03 19:36:00,894.5,894.99,894.2,894.48,884.0
2024-04-03 19:35:00,895.3,895.78,894.0,894.1,2272.0
2024-04-03 19:34:00,895.5,895.87,895.1,895.54,1138.0
2024-04-03 19:33:00,895.93,896.0,894.5,895.11,5339.0
2024-04-03 19:32:00,895.35,896.0,895.01,895.82,8754.0
2024-04-03 19:31:00,894.41,895.6,894.4,895.54,10571.0
2024-04-03 19:30:00,894.01,894.69,893.83,894.69,3075.0
2024-04-03 19:29:00,893.59,894.15,893.33,894.01,3728.0
2024-04-03 19:28:00,893.2,893.8,892.81,893.565,4770.0
2024-04-03 19:27:00,892.78,893.25,892.63,893.2,2171.0
2024-04-03 19:26:00,892.76,892.955,892.6,892.94,2944.0
2024-04-03 19:25:00,892.63,892.92,892.55,892.92,1715.0
2024-04-03 19:24:00,892.65,892.8,892.5,892.69,1130.0
2024-04-03 19:23:00,892.265,892.8,892.05,892.62,1592.0
2024-04-03 19:22:00,892.25,892.5,892.02,892.5,1195.0
2024-04-03 19:21:00,892.575,892.58,892.25,892.26,1088.0
2024-04-03 19:20:00,892.08,892.54,892.039,892.39,1087.0
2024-04-03 19:19:00,892.5,892.5,892.02,892.13,2232.0
2024-04-03 19:18:00,892.0,892.4,891.87,892.14,992.0
2024-04-03 19:17:00,891.555,892.37,891.5,892.0,4237.0
2024-04-03 19:16:00,891.7,891.8,891.31,891.555,2541.0
2024-04-03 19:15:00,891.5,891.64,891.31,891.64,560.0
2024-04-03 19:14:00,891.15,891.5,891.15,891.5,988.0
2024-04-03 19:13:00,891.3,891.471,891.235,891.4,783.0
2024-04-03 19:12:00,891.12,891.5,891.01,891.3,741.0
2024-04-03 19:11:00,891.2,891.5,891.0,891.12,284.0
2024-04-03 19:10:00,891.09,891.5,891.05,891.5,856.0
2024-04-03 19:09:00,891.18,891.18,891.0,891.1,682.0
2024-04-03 19:08:00,891.09,891.5,891.09,891.09,264.0
2024-04-03 19:07:00,891.5,891.5,891.09,891.295,1564.0
2024-04-03 19:06:00,891.5,891.58,891.15,891.15,1139.0
2024-04-03 19:05:00,891.33,891.6,891.17,891.55,760.0
2024-04-03 19:04:00,891.39,891.5,891.2,891.3,760.0
2024-04-03 19:03:00,891.55,891.55,891.178,891.39,746.0
2024-04-03 19:02:00,891.45,891.58,891.3,891.5,1720.0
2024-04-03 19:01:00,891.25,891.5,891.25,891.38,388.0
2024-04-03 19:00:00,891.25,891.375,891.2,891.36,410.0
