,open,high,low,close,volume
2024-04-03 20:00:00,519.41,519.41,519.41,519.41,833829.0
2024-04-03 19:59:00,520.6,520.7,520.56,520.61,15825.0
2024-04-03 19:58:00,520.568,520.6,520.54,520.6,7614.0
2024-04-03 19:57:00,520.56,520.56,520.55,520.56,107.0
2024-04-03 19:56:00,520.565,520.57,520.53,520.53,126.0
2024-04-03 19:55:00,520.57,520.57,520.51,520.57,1223.0
2024-04-03 19:54:00,520.5,520.595,520.5,520.57,461.0
2024-04-03 19:53:00,520.54,520.595,520.49,520.49,336.0
2024-04-03 19:52:00,520.61,520.69,520.542,520.542,113.0
2024-04-03 19:51:00,520.555,520.59,520.535,520.59,2067.0
2024-04-03 19:50:00,520.565,520.565,520.491,520.55,340.0
2024-04-03 19:49:00,520.57,520.58,520.55,520.555,1056.0
2024-04-03 19:48:00,520.48,520.57,520.48,520.52,1486.0
2024-04-03 19:47:00,520.53,520.545,520.43,520.44,343.0
2024-04-03 19:46:00,520.595,520.615,520.53,520.53,33.0
2024-04-03 19:45:00,520.65,520.65,520.56,520.62,1029.0
2024-04-03 19:44:00,520.625,520.669,520.6,520.66,802.0
2024-04-03 19:43:00,520.6,520.615,520.6,520.6,92.0
2024-04-03 19:42:00,520.55,520.615,520.54,520.61,146.0
2024-04-03 19:41:00,520.58,520.62,520.54,520.54,5294.0
2024-04-03 19:40:00,520.515,520.62,520.515,520.59,12300.0
2024-04-03 19:39:00,520.505,520.59,520.505,520.515,298.0
2024-04-03 19:38:00,520.58,520.58,520.47,520.5,452.0
2024-04-03 19:37:00,520.515,520.53,520.43,520.495,323.0
2024-04-03 19:36:00,520.605,520.605,520.46,520.51,1410.0
2024-04-03 19:35:00,520.67,520.67,520.53,520.572,1044.0
2024-04-03 19:34:00,520.8,520.8,520.66,520.66,1788.0
2024-04-03 19:33:00,520.95,520.95,520.77,520.77,258.0
2024-04-03 19:32:00,520.98,521.03,520.95,520.97,3203.0
2024-04-03 19:31:00,520.65,521.26,520.59,520.95,7525.0
2024-04-03 19:30:00,520.19,520.65,520.19,520.65,4411.0
2024-04-03 19:29:00,520.17,520.2,520.16,520.2,5402.0
2024-04-03 19:28:00,520.035,520.18,520.01,520.16,1567.0
2024-04-03 19:27:00,519.96,520.015,519.96,520.0,3701.0
2024-04-03 19:26:00,519.95,519.96,519.95,519.955,4.0
2024-04-03 19:25:00,519.95,519.96,519.94,519.96,1009.0
2024-04-03 19:24:00,519.92,519.95,519.91,519.94,281.0
2024-04-03 19:23:00,519.91,519.97,519.89,519.94,116.0
2024-04-03 19:22:00,519.89,519.91,519.89,519.9,248.0
2024-04-03 19:21:00,519.885,519.91,519.885,519.9,1026.0
2024-04-03 19:20:00,519.9,519.9,519.89,519.89,11.0
2024-04-03 19:19:00,519.865,519.87,519.86,519.87,216.0
2024-04-03 19:18:00,519.87,519.87,519.86,519.87,60.0
2024-04-03 19:17:00,519.85,519.86,519.85,519.86,16.0
2024-04-03 19:16:00,519.86,519.9,519.86,519.9,58.0
2024-04-03 19:15:00,519.87,519.91,519.86,519.9,75.0
2024-04-03 19:14:00,519.86,519.87,519.83,519.86,191.0
2024-04-03 19:13:00,519.84,519.87,519.83,519.86,207.0
2024-04-03 19:12:00,519.84,519.84,519.81,519.84,16.0
2024-04-03 19:11:00,519.82,519.85,519.785,519.82,1414.0
2024-04-03 19:10:00,519.79,519.85,519.78,519.82,78.0
2024-04-03 19:09:00,519.79,519.79,519.77,519.79,27.0
2024-04-03 19:08:00,519.75,519.77,519.72,519.77,176.0
2024-04-03 19:07:00,519.75,519.78,519.75,519.78,7.0
2024-04-03 19:06:00,519.7,519.77,519.7,519.77,34.0
2024-04-03 19:05:00,519.73,519.75,519.7,519.73,1385.0
