,open,high,low,close,volume
2024-04-17 19:59:00,154.75,154.8,154.69,154.755,16011.0
2024-04-17 19:58:00,154.74,154.75,154.68,154.75,7325.0
2024-04-17 19:57:00,154.75,154.77,154.68,154.69,2405.0
2024-04-17 19:56:00,154.73,154.75,154.65,154.71,5289.0
2024-04-17 19:55:00,154.77,154.79,154.72,154.76,1577.0
2024-04-17 19:54:00,154.78,154.79,154.71,154.77,1907.0
2024-04-17 19:53:00,154.75,154.78,154.7,154.78,1939.0
2024-04-17 19:52:00,154.75,154.75,154.7,154.725,2045.0
2024-04-17 19:51:00,154.75,154.75,154.7,154.7,1729.0
2024-04-17 19:50:00,154.75,154.75,154.72,154.74,2123.0
2024-04-17 19:49:00,154.72,154.75,154.72,154.74,1379.0
2024-04-17 19:48:00,154.75,154.75,154.7,154.72,626.0
2024-04-17 19:47:00,154.76,154.79,154.725,154.75,783.0
2024-04-17 19:46:00,154.77,154.79,154.75,154.76,1957.0
2024-04-17 19:45:00,154.79,154.8,154.72,154.79,1091.0
2024-04-17 19:44:00,154.83,154.83,154.71,154.765,571.0
2024-04-17 19:43:00,154.75,154.76,154.7,154.76,2880.0
2024-04-17 19:42:00,154.81,154.84,154.745,154.75,2747.0
2024-04-17 19:41:00,154.81,154.81,154.75,154.8,1530.0
2024-04-17 19:40:00,154.87,154.87,154.77,154.805,2175.0
2024-04-17 19:39:00,154.835,154.87,154.8,154.87,2347.0
2024-04-17 19:38:00,154.9,154.9,154.8,154.87,736.0
2024-04-17 19:37:00,154.87,154.9,154.85,154.9,938.0
2024-04-17 19:36:00,154.87,154.91,154.85,154.9,297.0
2024-04-17 19:35:00,154.9,154.91,154.85,154.87,244.0
2024-04-17 19:34:00,154.825,154.9,154.8,154.9,1785.0
2024-04-17 19:33:00,154.81,154.85,154.78,154.81,3627.0
2024-04-17 19:32:00,154.81,154.84,154.78,154.84,210.0
2024-04-17 19:31:00,154.83,154.84,154.78,154.84,1633.0
2024-04-17 19:30:00,154.84,154.89,154.83,154.84,564.0
2024-04-17 19:29:00,154.865,154.94,154.83,154.86,637.0
2024-04-17 19:28:00,154.86,154.9,154.78,154.85,912.0
2024-04-17 19:27:00,154.83,154.86,154.79,154.79,500.0
2024-04-17 19:26:00,154.865,154.88,154.81,154.84,1008.0
2024-04-17 19:25:00,154.88,154.89,154.86,154.88,161.0
2024-04-17 19:24:00,154.89,154.9,154.85,154.85,385.0
2024-04-17 19:23:00,154.91,154.94,154.88,154.9,1587.0
2024-04-17 19:22:00,154.86,154.94,154.83,154.92,2635.0
2024-04-17 19:21:00,154.78,154.86,154.77,154.86,2689.0
2024-04-17 19:20:00,154.77,154.8,154.75,154.78,1343.0
2024-04-17 19:19:00,154.731,154.78,154.731,154.76,671.0
2024-04-17 19:18:00,154.72,154.78,154.72,154.78,849.0
2024-04-17 19:17:00,154.76,154.78,154.71,154.745,2862.0
2024-04-17 19:16:00,154.75,154.77,154.7,154.76,1191.0
2024-04-17 19:15:00,154.75,154.77,154.67,154.72,416.0
2024-04-17 19:14:00,154.75,154.75,154.67,154.75,463.0
2024-04-17 19:13:00,154.66,154.75,154.66,154.705,140.0
