,open,high,low,close,volume
2024-04-17 20:00:00,459.99,459.99,459.99,459.99,93220.0
2024-04-17 19:59:00,460.52,460.52,460.47,460.47,28.0
2024-04-17 19:58:00,460.54,460.58,460.54,460.54,5.0
2024-04-17 19:57:00,460.51,460.53,460.47,460.5,35.0
2024-04-17 19:56:00,460.47,460.47,460.41,460.465,8.0
2024-04-17 19:55:00,460.45,460.479,460.45,460.459,7.0
2024-04-17 19:54:00,460.475,460.505,460.46,460.46,14.0
2024-04-17 19:53:00,460.41,460.48,460.41,460.48,55.0
2024-04-17 19:52:00,460.5,460.5,460.44,460.455,32.0
2024-04-17 19:51:00,460.42,460.44,460.42,460.43,4.0
2024-04-17 19:50:00,460.37,460.41,460.37,460.38,4.0
2024-04-17 19:49:00,460.4,460.4,460.37,460.38,40.0
2024-04-17 19:48:00,460.395,460.44,460.37,460.39,28.0
2024-04-17 19:47:00,460.38,460.41,460.37,460.37,97.0
2024-04-17 19:46:00,460.38,460.41,460.375,460.38,115.0
2024-04-17 19:45:00,460.42,460.48,460.39,460.41,10.0
2024-04-17 19:44:00,460.39,460.43,460.39,460.39,7.0
2024-04-17 19:43:00,460.41,460.41,460.375,460.39,81.0
2024-04-17 19:42:00,460.4,460.41,460.4,460.41,2.0
2024-04-17 19:41:00,460.36,460.42,460.36,460.4,25.0
2024-04-17 19:40:00,460.39,460.39,460.36,460.375,86.0
2024-04-17 19:39:00,460.35,460.37,460.33,460.37,9.0
2024-04-17 19:38:00,460.32,460.33,460.32,460.33,11.0
2024-04-17 19:37:00,460.35,460.35,460.25,460.28,16.0
2024-04-17 19:36:00,460.36,460.36,460.32,460.33,9.0
2024-04-17 19:35:00,460.36,460.36,460.34,460.34,9.0
2024-04-17 19:34:00,460.34,460.38,460.33,460.35,51.0
2024-04-17 19:33:00,460.42,460.42,460.355,460.37,17.0
2024-04-17 19:32:00,460.34,460.36,460.32,460.35,23.0
2024-04-17 19:31:00,460.39,460.39,460.31,460.31,124.0
2024-04-17 19:30:00,460.35,460.37,460.35,460.37,4.0
2024-04-17 19:29:00,460.3,460.33,460.3,460.33,26.0
2024-04-17 19:28:00,460.3,460.31,460.28,460.3,23.0
2024-04-17 19:27:00,460.305,460.32,460.295,460.32,8.0
2024-04-17 19:26:00,460.3,460.339,460.265,460.265,13.0
2024-04-17 19:25:00,460.285,460.33,460.285,460.29,4.0
2024-04-17 19:24:00,460.25,460.295,460.25,460.285,8.0
2024-04-17 19:23:00,460.375,460.4,460.2,460.25,231.0
2024-04-17 19:22:00,460.35,460.355,460.35,460.355,4.0
2024-04-17 19:21:00,460.37,460.37,460.33,460.37,33.0
2024-04-17 19:20:00,460.345,460.39,460.345,460.35,39.0
2024-04-17 19:19:00,460.355,460.36,460.345,460.36,24.0
2024-04-17 19:18:00,460.4,460.4,460.35,460.39,28.0
2024-04-17 19:17:00,460.38,460.42,460.35,460.35,44.0
2024-04-17 19:16:00,460.39,460.39,460.35,460.355,20.0
2024-04-17 19:15:00,460.42,460.42,460.33,460.37,15.0
2024-04-17 19:14:00,460.395,460.43,460.37,460.37,36.0
2024-04-17 19:13:00,460.445,460.455,460.43,460.43,28.0
2024-04-17 19:12:00,460.43,460.47,460.415,460.47,7.0
2024-04-17 19:11:00,460.56,460.56,460.44,460.45,30.0
2024-04-17 19:10:00,460.52,460.55,460.5,460.525,41.0
2024-04-17 19:09:00,460.52,460.55,460.52,460.55,2.0
2024-04-17 19:08:00,460.515,460.53,460.505,460.53,57.0
2024-04-17 19:07:00,460.49,460.51,460.49,460.51,3.0
2024-04-17 19:06:00,460.51,460.53,460.495,460.495,3.0
2024-04-17 19:05:00,460.5,460.5,460.445,460.445,220.0
2024-04-17 19:04:00,460.465,460.52,460.46,460.52,26.0
2024-04-17 19:03:00,460.435,460.5,460.435,460.5,16.0
2024-04-17 19:02:00,460.38,460.43,460.355,460.365,263.0
2024-04-17 19:01:00,460.39,460.39,460.38,460.38,5.0
2024-04-17 19:00:00,460.37,460.39,460.35,460.35,17.0
2024-04-17 18:59:00,460.395,460.418,460.38,460.38,10.0
2024-04-17 18:58:00,460.38,460.45,460.35,460.41,12.0
2024-04-17 18:57:00,460.4,460.4,460.35,460.35,8.0
2024-04-17 18:56:00,460.39,460.39,460.385,460.385,3.0
2024-04-17 18:55:00,460.34,460.41,460.325,460.375,31.0
2024-04-17 18:54:00,460.325,460.325,460.325,460.325,2.0
2024-04-17 18:53:00,460.28,460.35,460.25,460.315,13.0
2024-04-17 18:52:00,460.27,460.31,460.27,460.3,109.0
2024-04-17 18:51:00,460.305,460.34,460.27,460.27,32.0
2024-04-17 18:50:00,460.37,460.39,460.26,460.26,28.0
2024-04-17 18:49:00,460.45,460.45,460.39,460.39,12.0
2024-04-17 18:48:00,460.418,460.42,460.39,460.42,303.0
2024-04-17 18:47:00,460.42,460.42,460.385,460.42,19.0
2024-04-17 18:46:00,460.46,460.46,460.42,460.445,42.0
2024-04-17 18:45:00,460.425,460.425,460.361,460.42,6.0
2024-04-17 18:44:00,460.4,460.41,460.39,460.39,14.0
2024-04-17 18:43:00,460.365,460.41,460.365,460.385,25.0
2024-04-17 18:42:00,460.41,460.41,460.36,460.36,14.0
2024-04-17 18:41:00,460.315,460.39,460.315,460.38,241.0
2024-04-17 18:40:00,460.305,460.34,460.3,460.32,15.0
2024-04-17 18:39:00,460.29,460.29,460.29,460.29,1.0
2024-04-17 18:38:00,460.23,460.25,460.23,460.25,3.0
2024-04-17 18:37:00,460.28,460.359,460.225,460.225,189.0
2024-04-17 18:36:00,460.33,460.36,460.29,460.32,33.0
2024-04-17 18:35:00,460.31,460.34,460.27,460.305,31.0
2024-04-17 18:34:00,460.33,460.33,460.305,460.31,25.0
2024-04-17 18:33:00,460.24,460.32,460.24,460.31,18.0
2024-04-17 18:32:00,460.29,460.339,460.24,460.33,15.0
2024-04-17 18:31:00,460.355,460.39,460.29,460.34,48.0
2024-04-17 18:30:00,459.99,460.4,459.99,460.4,93286.0
2024-04-17 18:29:00,460.285,460.32,460.231,460.31,11.0
2024-04-17 18:28:00,460.34,460.34,460.285,460.285,12.0
2024-04-17 18:27:00,460.29,460.305,460.29,460.3,8.0
2024-04-17 18:26:00,460.31,460.34,460.29,460.29,237.0
2024-04-17 18:25:00,460.31,460.4,460.305,460.305,374.0
2024-04-17 18:24:00,460.36,460.41,460.36,460.395,7.0
2024-04-17 18:23:00,460.44,460.45,460.351,460.4,13.0
2024-04-17 18:22:00,460.4,460.45,460.351,460.351,11.0
2024-04-17 18:21:00,460.415,460.45,460.35,460.4,14.0
2024-04-17 18:20:00,460.37,460.39,460.36,460.39,7.0
2024-04-17 18:19:00,460.29,460.37,460.29,460.37,72.0
2024-04-17 18:18:00,460.27,460.31,460.24,460.265,34.0
2024-04-17 18:17:00,460.28,460.32,460.22,460.22,53.0
2024-04-17 18:16:00,460.368,460.368,460.26,460.26,22.0
2024-04-17 18:15:00,460.4,460.4,460.27,460.27,106.0
2024-04-17 18:14:00,460.39,460.4,460.29,460.4,161.0
2024-04-17 18:13:00,460.43,460.44,460.35,460.388,15.0
2024-04-17 18:12:00,460.41,460.42,460.331,460.42,58.0
2024-04-17 18:11:00,460.35,460.41,460.35,460.41,21.0
2024-04-17 18:10:00,460.395,460.459,460.36,460.4,17.0
2024-04-17 18:09:00,460.385,460.43,460.36,460.4,37.0
